Responder_id,LanguagesWorkedWith
61,C++;C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA
62,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA
63,Bash/Shell/PowerShell;Clojure;Java;Python;Other(s):
64,Bash/Shell/PowerShell;C;C++;C#
65,Assembly;C;C++;C#;HTML/CSS;Java
66,Clojure;Go;HTML/CSS;Java;JavaScript;R;SQL
67,C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
68,HTML/CSS;Java;JavaScript;Python
69,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript
70,C#;HTML/CSS;JavaScript;SQL
71,HTML/CSS;JavaScript;PHP;Python;SQL;VBA
72,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
73,SQL
74,HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby
75,HTML/CSS;JavaScript
76,PHP;SQL
77,HTML/CSS;JavaScript;PHP;SQL
78,HTML/CSS;Java;JavaScript;Kotlin;Python
79,C#;HTML/CSS;JavaScript;TypeScript
80,Bash/Shell/PowerShell;C#;F#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
81,Assembly;Bash/Shell/PowerShell;C;C++;Python
82,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;Rust
83,HTML/CSS;JavaScript
84,C;C++;C#;Java;Kotlin;PHP;SQL
85,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
86,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL
87,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL
88,C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
89,Bash/Shell/PowerShell;Python
90,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript
91,HTML/CSS;JavaScript;TypeScript
92,HTML/CSS;Java;JavaScript;Kotlin;SQL;VBA
93,Python;SQL
94,C#;HTML/CSS;JavaScript;SQL
95,C#;HTML/CSS;JavaScript;Python;R;SQL
96,C;C++;Java;Python;R;Scala;SQL
97,Bash/Shell/PowerShell;JavaScript;Python;R;SQL
98,HTML/CSS;Java;JavaScript;SQL
99,C;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL
100,HTML/CSS;JavaScript;Ruby;SQL;TypeScript
101,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL
102,C#;HTML/CSS;JavaScript;SQL;TypeScript
103,Clojure;Go;Java;Kotlin
104,C#;HTML/CSS;TypeScript
105,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL
106,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL
107,HTML/CSS;Java;Python
108,C++;Python
109,C#;HTML/CSS;JavaScript;SQL
110,Python;SQL
111,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;VBA
112,Assembly;C;C++;C#;HTML/CSS;Java;JavaScript;Python;VBA
113,Bash/Shell/PowerShell;C;C++
114,Bash/Shell/PowerShell;C++;Erlang;JavaScript;PHP;Python
115,Assembly;C#;HTML/CSS;Java;JavaScript;SQL;Swift
116,Scala;Other(s):
117,C#;HTML/CSS;JavaScript;SQL;TypeScript
118,Bash/Shell/PowerShell;C;C++
119,C;C++;C#;HTML/CSS;Java;JavaScript;SQL
120,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL
121,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python
122,Assembly;Bash/Shell/PowerShell;C++;Python;SQL
123,HTML/CSS;JavaScript;TypeScript
124,HTML/CSS;Java;SQL
125,Bash/Shell/PowerShell;Dart;HTML/CSS;Java;JavaScript;Scala
126,C#;SQL
127,Bash/Shell/PowerShell;C;Python
128,Bash/Shell/PowerShell;Go;Ruby
129,C++;Python;R
130,Bash/Shell/PowerShell;C++;Clojure;HTML/CSS;Java;Python;Ruby;SQL
131,Java
132,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;TypeScript
133,JavaScript;PHP;SQL
134,C;C++;HTML/CSS;JavaScript;SQL
135,Go;HTML/CSS;JavaScript;TypeScript
136,C#;Java;PHP;Python
137,HTML/CSS;Java;JavaScript;PHP;SQL
139,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
140,Java;JavaScript;Kotlin;PHP;SQL
141,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
142,Bash/Shell/PowerShell;C#
143,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
144,Java;SQL
145,Assembly;C++;Python;VBA
146,Bash/Shell/PowerShell;C;Python;Scala
147,HTML/CSS;Java;JavaScript;Kotlin
148,HTML/CSS;JavaScript;TypeScript
149,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
150,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL
151,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
152,HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Swift;Other(s):
153,C;C++;Python
154,HTML/CSS;Java;JavaScript;PHP;SQL;VBA
155,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
156,Bash/Shell/PowerShell;Python
157,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
158,Java;SQL;Other(s):
159,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
160,C#
161,HTML/CSS;JavaScript;PHP
162,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;PHP;SQL
163,C#;HTML/CSS;JavaScript;SQL;Other(s):
164,C#;HTML/CSS;JavaScript;SQL
165,Assembly;Bash/Shell/PowerShell;C;C++;C#;JavaScript;Python;SQL
166,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Ruby;SQL
167,HTML/CSS;Java;JavaScript;PHP;Python;SQL
168,Bash/Shell/PowerShell;Python
169,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
170,Clojure;Go;HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript
171,Assembly;C;C++;C#;HTML/CSS;Java;Objective-C;PHP;Python;R;SQL;Swift
172,HTML/CSS;JavaScript;Objective-C;SQL
173,HTML/CSS;JavaScript;PHP;SQL;TypeScript
174,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R
175,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
176,C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL
177,C#;Python;SQL
178,JavaScript;PHP;Python;Ruby;SQL;TypeScript
179,HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift
181,HTML/CSS;JavaScript
182,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript
183,Dart;Go;Java;Kotlin;Swift
184,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Kotlin;Objective-C;Python;Rust;Swift
185,Bash/Shell/PowerShell;Java;Kotlin
186,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python
187,HTML/CSS;JavaScript;Ruby;Scala;SQL
188,C#;Python;R;SQL;VBA
189,C++;HTML/CSS;JavaScript;Python;SQL
190,Java;Scala;SQL;TypeScript
191,C#;HTML/CSS;JavaScript;SQL;TypeScript
192,Bash/Shell/PowerShell;JavaScript;Python
193,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby;SQL
194,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP
195,C#;TypeScript;Other(s):
196,C#;HTML/CSS;JavaScript;SQL;TypeScript
197,HTML/CSS;R;VBA
198,HTML/CSS;Java;JavaScript;Python;SQL
199,R;SQL
200,Java;JavaScript;SQL;VBA
201,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Scala
202,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript
203,C;C++;HTML/CSS;JavaScript;PHP;SQL
204,Python;Other(s):
205,C#;HTML/CSS;JavaScript;PHP
206,Scala;SQL
207,Java
208,Other(s):
209,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
210,C++;Go;Java;JavaScript;Python;Rust;WebAssembly
211,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL
212,C#;HTML/CSS;Java;JavaScript;PHP
213,Go;Python
214,R;Other(s):
215,Python;Rust
216,Go;Java;Python
217,Go;HTML/CSS;JavaScript;PHP;TypeScript
218,HTML/CSS;JavaScript;PHP;SQL
219,C#;HTML/CSS;JavaScript;SQL
220,C#;HTML/CSS;JavaScript;SQL
221,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
222,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Other(s):
223,Java;Kotlin
224,Go
225,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
226,HTML/CSS;JavaScript;PHP;Python;SQL
227,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
228,HTML/CSS;Java;JavaScript;Python;Scala;SQL
229,HTML/CSS;Java;JavaScript;Python;TypeScript
230,Bash/Shell/PowerShell;Go;Python
231,Elixir;Go;JavaScript;Ruby;SQL
232,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript
233,C++;Python
234,Bash/Shell/PowerShell;C;Python
235,HTML/CSS;Java;Python;SQL
236,HTML/CSS;JavaScript
237,C++;JavaScript;Rust
238,HTML/CSS;JavaScript;Objective-C;PHP;Python
239,C#;HTML/CSS;JavaScript;TypeScript
240,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL
241,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
242,HTML/CSS;Java;JavaScript;SQL;TypeScript
243,C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Swift
244,Assembly;Bash/Shell/PowerShell;C;Python;VBA
245,C#;JavaScript;TypeScript
246,C#;HTML/CSS;JavaScript;SQL;TypeScript
247,C++;C#
248,HTML/CSS;Java;JavaScript;Python;SQL
249,Bash/Shell/PowerShell;C#;HTML/CSS;Java;Python;SQL
250,Python;Other(s):
251,Assembly;C;C++;C#;HTML/CSS;JavaScript;Python;VBA
252,HTML/CSS;JavaScript;Rust;Swift;Other(s):
253,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby;SQL
254,C#;Python;SQL;TypeScript
255,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;TypeScript;Other(s):
256,C;C++;Java
257,Bash/Shell/PowerShell;Other(s):
258,C;HTML/CSS;Java;JavaScript;PHP;Python
259,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
260,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL
261,HTML/CSS;JavaScript
262,C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
263,HTML/CSS;JavaScript;Kotlin;Python
264,HTML/CSS;Java;JavaScript;Python;SQL;Other(s):
265,HTML/CSS;JavaScript
266,HTML/CSS;JavaScript;TypeScript;Other(s):
267,HTML/CSS;JavaScript;Python;Ruby
268,C;Java;PHP;Ruby
269,C#;HTML/CSS;Java;JavaScript;SQL;Swift
270,C++;HTML/CSS;JavaScript
271,C#;JavaScript;SQL
272,HTML/CSS;JavaScript;PHP
273,Bash/Shell/PowerShell;C++;Clojure;Erlang;HTML/CSS;Java;JavaScript;Ruby;Scala
274,Java;JavaScript
275,C#;HTML/CSS;Java;JavaScript;Objective-C;Python;Ruby;Rust;SQL;TypeScript
276,HTML/CSS;Java;JavaScript;Scala;SQL
277,Bash/Shell/PowerShell;C;C++;Python
278,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL
279,HTML/CSS;Java;JavaScript;PHP;Python;SQL
280,C#;HTML/CSS;JavaScript;SQL;TypeScript
281,C#;HTML/CSS;Java;JavaScript;TypeScript
282,Python;SQL;Swift
283,HTML/CSS;JavaScript;TypeScript
284,Assembly;Bash/Shell/PowerShell;C;C++;C#;Java
285,C#;HTML/CSS;JavaScript;PHP;SQL
286,Dart;HTML/CSS;JavaScript;Python;TypeScript;Other(s):
287,Java;Kotlin
288,HTML/CSS;JavaScript;PHP;SQL
289,C++;C#;PHP;Rust;TypeScript
290,HTML/CSS;PHP;Python
291,Go;HTML/CSS;Python;SQL;TypeScript
292,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
293,HTML/CSS;Java;JavaScript;SQL
295,C;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;WebAssembly
296,HTML/CSS;Java;JavaScript;SQL
297,HTML/CSS;Java;JavaScript;SQL;TypeScript
298,HTML/CSS;JavaScript;PHP;SQL;Other(s):
299,Assembly;C;C++;Java;Python;SQL
300,HTML/CSS;Java;JavaScript;SQL
301,C++;C#;Clojure;JavaScript;PHP;Python;SQL;VBA
302,Bash/Shell/PowerShell;C#;Python;Other(s):
303,JavaScript
304,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL
305,C#;HTML/CSS;JavaScript;SQL
306,C;HTML/CSS;JavaScript;Python;SQL;TypeScript
307,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;PHP;Python;R;SQL
308,HTML/CSS;JavaScript;Ruby
309,Java
310,C#;HTML/CSS;JavaScript;SQL;Swift
311,Assembly;C;C++;C#;HTML/CSS;Java;Python;Scala;SQL
312,Bash/Shell/PowerShell;Python;Ruby;SQL
313,C;C#;HTML/CSS;PHP;Python
314,C;Python
315,C++;HTML/CSS;Java;JavaScript;Python;SQL;Other(s):
316,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python
317,Java;SQL
318,Bash/Shell/PowerShell;Java
319,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;TypeScript
320,C#;HTML/CSS;JavaScript;SQL;TypeScript
321,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
322,C#;HTML/CSS;Java;Python
323,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
324,C#;HTML/CSS;JavaScript;SQL;TypeScript
325,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python
326,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
327,HTML/CSS;Java;JavaScript;PHP;Python;SQL
328,HTML/CSS;Java;JavaScript;TypeScript
329,C;C++;C#;F#;HTML/CSS;JavaScript;Rust;SQL;TypeScript;Other(s):
330,Java;Kotlin
331,Bash/Shell/PowerShell;C++;C#;Python
332,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Objective-C;Python;SQL;Swift;TypeScript
333,Python;Rust;Scala
334,Bash/Shell/PowerShell;C;C++;Python
335,C#;HTML/CSS;Java;JavaScript;Python;SQL;Swift
336,Bash/Shell/PowerShell;JavaScript;Python;Rust;SQL;TypeScript
337,Python;R
338,Bash/Shell/PowerShell;HTML/CSS;Java;Python;SQL
339,Bash/Shell/PowerShell;Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;Swift
340,C#;HTML/CSS;SQL
341,C++;C#;SQL
342,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
343,C++
344,Assembly;C#;HTML/CSS;JavaScript;SQL
345,Java;JavaScript
346,Java
347,Java
348,HTML/CSS;PHP
349,C;C++;HTML/CSS;Python
350,C;C++;Elixir;HTML/CSS;Java;Kotlin;PHP;Ruby;SQL;Other(s):
351,Assembly;C;C++;Java;JavaScript;Python;SQL
352,HTML/CSS;JavaScript;Ruby;TypeScript
353,HTML/CSS;JavaScript;TypeScript
354,HTML/CSS;Java;JavaScript;Kotlin;TypeScript
355,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;TypeScript
356,HTML/CSS;JavaScript;PHP;Python;SQL
357,HTML/CSS;TypeScript
358,C;C++;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
359,Java;JavaScript;Python
360,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript
361,Elixir;Erlang;F#;Go;HTML/CSS;JavaScript;PHP;SQL
362,HTML/CSS;Java;JavaScript;SQL
363,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript
364,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
365,Java;SQL
366,HTML/CSS;PHP;SQL
367,HTML/CSS;JavaScript
368,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
369,Python
370,R;SQL
371,Bash/Shell/PowerShell;SQL
372,Bash/Shell/PowerShell;C#;HTML/CSS;Java;Python;SQL
373,C#;HTML/CSS;Java;JavaScript;Python
374,HTML/CSS;Python;SQL;TypeScript
375,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL
376,C++;Python
377,HTML/CSS;JavaScript;PHP;SQL
378,C#;HTML/CSS;JavaScript;SQL;TypeScript
379,Bash/Shell/PowerShell;C;C#;Java;Python
380,Bash/Shell/PowerShell;JavaScript;Python
381,C#;Go;HTML/CSS;Java;JavaScript;Python;R;SQL
382,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
383,Bash/Shell/PowerShell
384,Bash/Shell/PowerShell;Go;SQL;TypeScript
385,HTML/CSS;Java;JavaScript;Python;R;SQL;VBA
386,HTML/CSS;JavaScript;PHP
387,Java;Python
388,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
389,Bash/Shell/PowerShell;JavaScript;Objective-C;Ruby;Swift
390,Bash/Shell/PowerShell;HTML/CSS;Java;Kotlin;Python;Scala
391,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
392,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA
393,Java;Kotlin;PHP;SQL
394,C#;HTML/CSS;TypeScript;Other(s):
395,HTML/CSS;Java;JavaScript;SQL
396,HTML/CSS;JavaScript
397,HTML/CSS;JavaScript;PHP;Ruby;Rust;SQL
398,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
399,C++
400,Bash/Shell/PowerShell;C++;Java;Kotlin;PHP
401,JavaScript;Python;Ruby;SQL;TypeScript
402,C#
403,Bash/Shell/PowerShell;C;C#;F#;HTML/CSS;JavaScript;PHP;Python;SQL
404,C#;SQL;TypeScript
405,Java;JavaScript;TypeScript
406,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
407,C;C++;HTML/CSS;Java;JavaScript;Python;SQL
408,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;R;Rust;SQL;TypeScript;WebAssembly
409,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;PHP
410,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
411,C;C++;JavaScript;Python;R;SQL
412,HTML/CSS;JavaScript;PHP;Python;SQL
413,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
414,Bash/Shell/PowerShell;JavaScript;Python;SQL
415,HTML/CSS;JavaScript;Ruby
416,C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript
417,HTML/CSS;JavaScript
418,HTML/CSS;JavaScript;SQL;VBA
419,C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
420,HTML/CSS;JavaScript;Python
421,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
422,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;Python;Other(s):
423,C++;C#
424,C;C++
425,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;PHP;SQL;VBA
426,Java
427,C#;HTML/CSS;JavaScript;SQL;TypeScript
428,Bash/Shell/PowerShell;Java;Python
429,C#
430,Assembly;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL;Other(s):
431,VBA;Other(s):
432,HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA;Other(s):
433,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python
434,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
435,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;Swift
436,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL
438,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript;R;SQL
439,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
440,Bash/Shell/PowerShell;C++;HTML/CSS;Java;PHP;SQL
441,C#;HTML/CSS;Java;JavaScript;PHP
442,HTML/CSS;JavaScript
443,HTML/CSS;JavaScript;TypeScript
444,Bash/Shell/PowerShell;C;C++;HTML/CSS;Python
445,C#;SQL
446,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python
447,Bash/Shell/PowerShell;Java;Python
448,Bash/Shell/PowerShell;Java;SQL;Other(s):
449,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;TypeScript;Other(s):
450,C#;HTML/CSS;JavaScript;TypeScript
451,Bash/Shell/PowerShell;C;C++;C#;Java;Python;Rust
452,SQL;VBA
453,C++;C#;SQL
454,Bash/Shell/PowerShell;Elixir;HTML/CSS;JavaScript;Ruby;SQL;Other(s):
455,C++;Python;Ruby
456,Bash/Shell/PowerShell;JavaScript;Python;SQL
457,HTML/CSS;JavaScript
458,Assembly;C;Python;Rust
459,C#;SQL
460,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python
461,HTML/CSS;JavaScript;PHP;SQL
462,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL
463,HTML/CSS;Java;JavaScript;PHP;SQL;Other(s):
464,C;Python
465,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
466,HTML/CSS;JavaScript;TypeScript
467,Java;Kotlin;Python;SQL
468,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;SQL;Other(s):
469,Bash/Shell/PowerShell;JavaScript;PHP;SQL
470,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Other(s):
471,Java;JavaScript
472,HTML/CSS;JavaScript;PHP;Python;SQL
473,C#;JavaScript
474,Java;JavaScript;Other(s):
475,C#;HTML/CSS;JavaScript;PHP;TypeScript
476,HTML/CSS;JavaScript;PHP;Scala
477,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
478,C++;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL
479,C#;HTML/CSS;JavaScript;SQL;Other(s):
480,C;C++;Dart;Java;Python
481,Bash/Shell/PowerShell;Kotlin
482,Bash/Shell/PowerShell;HTML/CSS;PHP
483,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
484,HTML/CSS;Java;PHP;Python;SQL
485,Java;JavaScript;Scala
486,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
487,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
488,C;C++;C#;Java
489,C++;Python
490,HTML/CSS;JavaScript;Ruby
491,Java;Objective-C
492,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript
493,C#;Java;SQL;Other(s):
494,Assembly;C;Erlang;HTML/CSS;Java;JavaScript;Python;SQL
495,R
496,Bash/Shell/PowerShell;Python;SQL
497,Dart;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript
498,C++;HTML/CSS;JavaScript;Python
499,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Ruby;SQL;VBA
500,C++;C#
501,HTML/CSS
502,C++;C#
